variant,code,name,market,entry_date,exit_date,entry,exit,ret,days,reason,atr_pct,r_multiple,bench,excess,sample
D2_hh20_ll10_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2024-11-08,2024-12-02,2855.213932777519,2315.205630681064,-0.19213059224642448,16,ll,0.034569118434975024,-2.7355425999968963,-0.022050775265653688,-0.1700798169807708,IS
D2_hh20_ll10_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2025-02-25,2025-04-08,2212.41248646349,2221.8431865985576,0.0012626319426277703,29,ll,0.019607841162884672,0.1086971254820324,-0.14865440832115007,0.14991704026377783,IS
D2_hh20_ll10_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2025-09-05,2025-10-01,2079.7383008934985,2065.3290128368094,-0.009928414046372343,16,ll,0.014087777683518411,-0.24590159647671236,0.04627922868838996,-0.05620764273476231,IS
D2_hh20_ll10_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2025-10-17,2025-10-31,2292.9955835399514,2175.800048828125,-0.054110231329315805,10,ll,0.019689993048911947,-1.2978732699994562,0.08562127617534632,-0.13973150750466212,OOS
D2_hh20_ll10_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2026-03-02,2026-03-05,2308.5773215926997,2289.959829349136,-0.011064487192796176,3,ll,0.019142602393313262,-0.21064239404599303,-0.06069999281147087,0.04963550561867469,OOS
D2_hh20_ll10_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2026-04-02,2026-04-16,2371.288966478164,2250.7649414276284,-0.0538263761837251,10,ll,0.026322313558470176,-0.9654617948157107,0.1075306028962828,-0.1613569790800079,OOS
D2_hh20_ll10_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2026-08-27,2026-09-18,2327.0,2330.0,-0.0017107864202835473,16,open,0.017597765363128494,0.036630036630036625,-0.018761946510758132,0.017051160090474585,OOS
D3_hh55_ll20_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2023-12-21,2024-03-25,4784.061993082061,5986.964162980403,0.24843950300765016,60,ll,0.032278623509406475,3.8948300093152497,0.20008882917967785,0.04835067382797231,IS
D3_hh55_ll20_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2024-11-08,2024-12-03,2855.213932777519,2243.5333989809637,-0.2172328204463192,17,ll,0.034569118434975024,-3.0986156162659175,-0.0033658210999578664,-0.21386699934636133,IS
D3_hh55_ll20_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2025-03-19,2025-04-08,2440.632138072132,2221.8431865985576,-0.09264437862659503,13,ll,0.02726043365590188,-1.644221433857987,-0.12769956075433497,0.03505518212773995,IS
D3_hh55_ll20_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2025-09-17,2025-10-02,2142.178369627578,2098.9507755904283,-0.023179269219614437,10,ll,0.013273551605881726,-0.7601307403917682,0.0007674653833704692,-0.023946734602984906,IS
D3_hh55_ll20_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2025-10-17,2025-12-02,2292.9955835399514,2073.4080285387786,-0.09876449103411322,30,ll,0.019689993048911947,-2.431806115833166,0.02124604370495886,-0.12001053473907208,OOS
D3_hh55_ll20_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2026-03-02,2026-04-23,2308.5773215926997,2167.4758371824482,-0.06412053648387428,37,ll,0.019142602393313262,-1.5964531683848917,0.004927096168115819,-0.0690476326519901,OOS
D3_hh55_ll20_sma20>55,7388,ＦＰパートナー,プライム（内国株式）,2026-08-27,2026-09-18,2327.0,2330.0,-0.0017107864202835473,16,open,0.017597765363128494,0.036630036630036625,-0.018761946510758132,0.017051160090474585,OOS
D4_hh20_ll10_sma_prime,7388,ＦＰパートナー,プライム（内国株式）,2023-12-21,2024-01-17,4784.061993082061,4637.142485458486,-0.033710201463949874,15,ll,0.032278623509406475,-0.4757049422352294,0.05350432737763344,-0.08721452884158332,IS
