strategy,variant,code,name,market,entry_date,exit_date,entry,exit,ret,reason,bench,turn20,sample,excess
A,A2_surp10_react3_stop5_hold20,5929,三和ホールディングス,プライム（内国株式）,2024-11-05,2024-12-03,4050.2807025091292,4448.99755859375,0.09544178351332977,time,0.03140794149710424,3015304962.446289,IS,0.06403384201622553
A,A3_react5_any_hold10,5929,三和ホールディングス,プライム（内国株式）,2024-11-05,2024-11-19,4050.2807025091292,4226.21337890625,0.040437156414401376,time,0.009480236590177826,3015304962.446289,IS,0.03095691982422355
A,A3_react5_any_stop5_hold20,5929,三和ホールディングス,プライム（内国株式）,2024-11-05,2024-12-03,4050.2807025091292,4448.99755859375,0.09544178351332977,time,0.03140794149710424,3015304962.446289,IS,0.06403384201622553
A,A1_surp10_hold10,5929,三和ホールディングス,プライム（内国株式）,2024-08-01,2024-08-16,3052.2267576889626,2964.39990234375,-0.03177468232789882,time,-0.02657544915288268,1885422143.3642578,IS,-0.005199233175016138
A,A2_surp10_react3_hold5,5929,三和ホールディングス,プライム（内国株式）,2024-08-01,2024-08-08,3052.2267576889626,2613.56396484375,-0.1467189395382119,time,-0.10921925989299175,1885422143.3642578,IS,-0.03749967964522016
A,A2_surp10_react3_hold10,5929,三和ホールディングス,プライム（内国株式）,2024-08-01,2024-08-16,3052.2267576889626,2964.39990234375,-0.03177468232789882,time,-0.02657544915288268,1885422143.3642578,IS,-0.005199233175016138
A,A2_surp10_react3_stop5_hold10,5929,三和ホールディングス,プライム（内国株式）,2024-08-01,2024-08-05,3052.2267576889626,2633.395995006264,-0.14022137833554094,stop,-0.19547428558413105,1885422143.3642578,IS,0.05525290724859011
A,A2_surp10_react3_stop5_hold20,5929,三和ホールディングス,プライム（内国株式）,2024-08-01,2024-08-05,3052.2267576889626,2633.395995006264,-0.14022137833554094,stop,-0.19547428558413105,1885422143.3642578,IS,0.05525290724859011
A,A1_surp10_hold10,5929,三和ホールディングス,プライム（内国株式）,2024-02-01,2024-02-16,2113.7753450013906,2411.372802734375,0.13778953964371665,time,0.0606427886930887,1329438333.07312,IS,0.07714675095062795
A,A1_surp10_hold10,5929,三和ホールディングス,プライム（内国株式）,2023-11-01,2023-11-16,1937.627482742229,1941.799560546875,-0.0008468111947187414,time,0.08313856735915315,1544987533.690796,IS,-0.08398537855387189
A,A3_react5_any_hold10,2222,寿スピリッツ,プライム（内国株式）,2026-02-04,2026-02-19,1923.1246042538778,1972.234130859375,0.022536320681909475,time,0.05020348732829083,1182280557.567749,OOS,-0.027667166646381355
A,A3_react5_any_stop5_hold20,2222,寿スピリッツ,プライム（内国株式）,2026-02-04,2026-02-26,1923.1246042538778,1912.3205988594875,-0.008617943512600364,stop,0.07369667064020957,1182280557.567749,OOS,-0.08231461415280994
A,A3_react5_any_hold10,2222,寿スピリッツ,プライム（内国株式）,2025-02-05,2025-02-20,2405.3374512520527,2319.501953125,-0.0386854287045556,time,-0.0031014712179343595,1599879086.9128418,IS,-0.03558395748662124
A,A3_react5_any_stop5_hold20,2222,寿スピリッツ,プライム（内国株式）,2025-02-05,2025-02-21,2405.3374512520527,2314.1675894510063,-0.040903148164757375,stop,-0.0005523347216875862,1599879086.9128418,IS,-0.04035081344306979
A,A5_react8_any_hold10,2222,寿スピリッツ,プライム（内国株式）,2025-02-05,2025-02-20,2405.3374512520527,2319.501953125,-0.0386854287045556,time,-0.0031014712179343595,1599879086.9128418,IS,-0.03558395748662124
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),9504,中国電力,プライム（内国株式）,2026-08-04,2026-08-19,906.0,951.4000244140624,0.04711040222302698,time,0.024649454018667916,1549607044.9484253,OOS,0.022460948204359066
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),9504,中国電力,プライム（内国株式）,2026-05-01,2026-05-20,892.5,880.0,-0.017005602240896308,time,0.008762570056941588,1533309459.066162,OOS,-0.025768172297837896
A,A1_surp10_hold10,9504,中国電力,プライム（内国株式）,2026-02-03,2026-02-18,906.9358664897709,1103.8009033203125,0.21406610588959663,time,0.08524631732128674,1662995253.1307983,OOS,0.1288197885683099
A,A1_surp10_hold10,9504,中国電力,プライム（内国株式）,2025-11-05,2025-11-19,899.7574908533604,953.1528930664062,0.05634421525338318,time,-0.057469144825306406,1898606584.5413208,OOS,0.11381336007868958
A,A2_surp10_react3_hold5,9504,中国電力,プライム（内国株式）,2025-11-05,2025-11-12,899.7574908533604,947.3512573242188,0.049896215874478345,time,-0.008425518893890094,1898606584.5413208,OOS,0.05832173476836844
A,A2_surp10_react3_hold10,9504,中国電力,プライム（内国株式）,2025-11-05,2025-11-19,899.7574908533604,953.1528930664062,0.05634421525338318,time,-0.057469144825306406,1898606584.5413208,OOS,0.11381336007868958
A,A2_surp10_react3_stop5_hold10,9504,中国電力,プライム（内国株式）,2025-11-05,2025-11-19,899.7574908533604,953.1528930664062,0.05634421525338318,time,-0.057469144825306406,1898606584.5413208,OOS,0.11381336007868958
A,A2_surp10_react3_stop5_hold20,9504,中国電力,プライム（内国株式）,2025-11-05,2025-12-04,899.7574908533604,959.0529545816268,0.06290160607835393,stop,-0.009102967750900914,1898606584.5413208,OOS,0.07200457382925485
A,A3_react5_any_hold10,9504,中国電力,プライム（内国株式）,2025-11-05,2025-11-19,899.7574908533604,953.1528930664062,0.05634421525338318,time,-0.057469144825306406,1898606584.5413208,OOS,0.11381336007868958
A,A3_react5_any_stop5_hold20,9504,中国電力,プライム（内国株式）,2025-11-05,2025-12-04,899.7574908533604,959.0529545816268,0.06290160607835393,stop,-0.009102967750900914,1898606584.5413208,OOS,0.07200457382925485
A,A5_react8_any_hold10,9504,中国電力,プライム（内国株式）,2025-11-05,2025-11-19,899.7574908533604,953.1528930664062,0.05634421525338318,time,-0.057469144825306406,1898606584.5413208,OOS,0.11381336007868958
A,A1_surp10_hold10,9504,中国電力,プライム（内国株式）,2025-05-01,2025-05-19,736.7600801062433,716.4429931640625,-0.030576259206729902,time,0.040317234666328305,1990960609.5742798,IS,-0.07089349387305821
A,A1_surp10_hold10,9504,中国電力,プライム（内国株式）,2025-02-03,2025-02-18,830.8899648889538,810.9713745117188,-0.026972597117474125,time,-0.007633834941158768,1364505420.0830078,IS,-0.019338762176315357
A,A1_surp10_hold10,9504,中国電力,プライム（内国株式）,2024-05-02,2024-05-20,943.5374760696899,983.4610595703124,0.03931266326264471,time,0.020787684867674683,4126574414.616089,IS,0.018524978394970026
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),9504,中国電力,プライム（内国株式）,2024-02-02,2024-02-19,911.2095671369553,909.7393188476562,-0.0046135127881927725,time,0.06828153884169263,1860237794.031372,IS,-0.07289505162988541
A,A1_surp10_hold10,9504,中国電力,プライム（内国株式）,2023-11-02,2023-11-17,964.8750176688027,913.0474243164062,-0.05671430745260153,time,0.0627672543555966,2086769989.2068481,IS,-0.11948156180819813
A,A2_surp10_react3_hold5,9504,中国電力,プライム（内国株式）,2023-11-02,2023-11-10,964.8750176688027,925.361083984375,-0.04395238550159142,time,0.030582547823569062,2086769989.2068481,IS,-0.07453493332516048
A,A2_surp10_react3_hold10,9504,中国電力,プライム（内国株式）,2023-11-02,2023-11-17,964.8750176688027,913.0474243164062,-0.05671430745260153,time,0.0627672543555966,2086769989.2068481,IS,-0.11948156180819813
A,A2_surp10_react3_stop5_hold10,9504,中国電力,プライム（内国株式）,2023-11-02,2023-11-16,964.8750176688027,892.555364928029,-0.07795235280886681,stop,0.057679258617636675,2086769989.2068481,IS,-0.13563161142650348
A,A2_surp10_react3_stop5_hold20,9504,中国電力,プライム（内国株式）,2023-11-02,2023-11-16,964.8750176688027,892.555364928029,-0.07795235280886681,stop,0.057679258617636675,2086769989.2068481,IS,-0.13563161142650348
A,A3_react5_any_hold10,9504,中国電力,プライム（内国株式）,2023-11-02,2023-11-17,964.8750176688027,913.0474243164062,-0.05671430745260153,time,0.0627672543555966,2086769989.2068481,IS,-0.11948156180819813
